sample,reading_set,simulated_nodes,real_nodes,exec_time
4,91,32,5,0.05217080000147689
4,92,21,16,0.05517199999303557
4,93,33,4,0.05121789999247994
4,94,27,10,0.05289730000367854
4,95,23,14,0.049939899996388704
4,96,34,3,0.056791599999996834
4,97,31,6,0.06379759999981616
4,98,22,15,0.05035950000456069
4,99,35,2,0.051584899993031286
5,0,24,13,0.05392560000473168
5,1,33,4,0.050243999998201616
5,2,24,13,0.049984800003585406
5,3,24,13,0.05002160000731237
5,4,30,7,0.051294599994434975
5,5,32,5,0.04966989999229554
5,6,33,4,0.049886499997228384
5,7,29,8,0.05009039999276865
5,8,29,8,0.05374489999667276
5,9,24,13,0.0512960999913048
5,10,36,1,0.052034499996807426
5,11,27,10,0.050753299990901724
5,12,21,16,0.04997360000561457
5,13,36,1,0.050846400001319125
5,14,35,2,0.05512639999506064
5,15,21,16,0.05625009999494068
5,16,36,1,0.05487409999477677
5,17,31,6,0.052931800004444085
5,18,32,5,0.05181319999974221
5,19,23,14,0.05404429999180138
5,20,26,11,0.05179430000134744
5,21,36,1,0.05177329998696223
5,22,28,9,0.050890099999378435
5,23,32,5,0.050359700006083585
5,24,25,12,0.06729720000294037
5,25,25,12,0.05437810000148602
5,26,24,13,0.05188710000948049
5,27,33,4,0.05108319999999367
5,28,22,15,0.05312959999719169
5,29,32,5,0.050881099989055656
5,30,24,13,0.05164019999210723
5,31,21,16,0.05115059998934157
5,32,36,1,0.05168390000471845
5,33,30,7,0.0524755000078585
5,34,34,3,0.05682499999238644
5,35,34,3,0.0560263999941526
5,36,32,5,0.054128299991134554
5,37,28,9,0.05168059999414254
5,38,24,13,0.05108900000050198
5,39,24,13,0.050252900007762946
5,40,27,10,0.05357410000578966
5,41,34,3,0.051284899993333966
5,42,24,13,0.051075200011837296
5,43,26,11,0.051509299999452196
5,44,24,13,0.05200450000120327
5,45,27,10,0.05589319999853615
5,46,31,6,0.05272619999595918
5,47,29,8,0.051122599994414486
5,48,21,16,0.05117469999822788
5,49,34,3,0.05354319998878054
5,50,31,6,0.05254389999026898
5,51,33,4,0.0518010000087088
5,52,27,10,0.050485500003560446
5,53,21,16,0.05398340000829194
5,54,28,9,0.05231899999489542
5,55,31,6,0.05322639999212697
5,56,24,13,0.055307600006926805
5,57,29,8,0.05425390000164043
5,58,23,14,0.050974500001757406
5,59,34,3,0.05187859998841304
5,60,30,7,0.051526000010198914
5,61,25,12,0.05005940000410192
5,62,27,10,0.04994280000391882
5,63,22,15,0.05256830000143964
5,64,35,2,0.0544724000064889
5,65,25,12,0.05607409999356605
5,66,28,9,0.05333209999662358
5,67,33,4,0.05025060000480153
5,68,29,8,0.05218139999487903
5,69,36,1,0.05293510000046808
5,70,28,9,0.05196779999823775
5,71,31,6,0.05078890000004321
5,72,24,13,0.05809479999879841
5,73,25,12,0.05292700001155026
5,74,31,6,0.051974000001791865
5,75,36,1,0.05057380000653211
5,76,29,8,0.05423589999554679
5,77,26,11,0.054045400000177324
5,78,32,5,0.052218600001651794
5,79,32,5,0.051297599988174625
5,80,26,11,0.05086820000724401
5,81,22,15,0.052333900006487966
5,82,29,8,0.05052589999104384
5,83,36,1,0.05032789999677334
5,84,28,9,0.05060819999198429
5,85,30,7,0.05125560000305995
5,86,33,4,0.05315130000235513
5,87,33,4,0.06120099998952355
5,88,21,16,0.05352810000476893
5,89,21,16,0.0530575000011595
5,90,22,15,0.05080409999936819
5,91,36,1,0.057715000002644956
5,92,29,8,0.05631980000180192
5,93,26,11,0.052748300004168414
5,94,35,2,0.0508795000059763
5,95,30,7,0.05309460000717081
5,96,28,9,0.05080969999835361
5,97,29,8,0.05585819999396335
5,98,36,1,0.054282400000374764
5,99,26,11,0.0517896999954246
6,0,25,12,0.05367639999894891
6,1,29,8,0.053026100009446964
6,2,27,10,0.050938899992615916
6,3,23,14,0.05232699999760371
6,4,23,14,0.0568963999976404
6,5,30,7,0.05519830000412185
6,6,26,11,0.05451760000141803
6,7,28,9,0.053239400003803894
6,8,31,6,0.05338510000729002
6,9,28,9,0.058274299997719936
6,10,30,7,0.05528030000277795
6,11,24,13,0.05241889999888372
6,12,36,1,0.05113819999678526
6,13,23,14,0.05202699999790639
6,14,24,13,0.05108420000760816
6,15,26,11,0.05087120000098366
6,16,23,14,0.050972400000318885
6,17,23,14,0.05292840000765864
6,18,25,12,0.056969700002809986
6,19,31,6,0.05036979999567848
6,20,29,8,0.05160269999760203
6,21,31,6,0.05018679999921005
